CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Newport News,Jefferson Avenue,VA,US,2017-07-10,several dozen,24,,24,,,BlackLivesMatter757; IAmTheChangeTODAY; Coalition of Black Americans,Rally for unity to oppose racism,0,march,0,0,0,0,1,1,http://wavy.com/2017/07/10/hampton-roads-marches-july-10-2017/,,,,,,
Norfolk,Granby Street,VA,US,2017-07-10,several; more than two dozen,24,,24,,,BlackLivesMatter757; IAmTheChangeTODAY; Coalition of Black Americans,Rally for unity to oppose racism,0,march,0,0,0,0,1,1,http://wavy.com/2017/07/10/hampton-roads-marches-july-10-2017/,,,,,,
Dallas,outside DISD headquarters,TX,US,2017-07-12,about two dozen,24,,24,,,Dallas Independent School District; Resource Center,Oppose Texas bathroom bill,0,protest,0,0,0,0,1,1,https://www.dallasnews.com/news/dallas-isd/2017/07/12/sense-decency-left-dallas-isd-trustee-asks-state-leaders-bathroom-bill-protest,,,,,,
Lamoille County,Hyde Park,VT,US,2017-07-14,sever dozen,24,,24,,,general protestors,Protesting decison not to retry woman accused of animal abuse,0,protest,0,0,0,0,1,1,https://vtdigger.org/2017/07/16/activists-say-justice-denied-eden-animal-cruelty-case/,,,,,,
North Charleston,Outside city hall,SC,US,2017-07-14,two dozen or so,24,,24,,,National Action Network,Against gun violence,0,protest,0,0,0,0,1,1,http://www.postandcourier.com/news/national-action-network-protest-against-gun-violence-puts-spotlight-on/article_397b4f5c-68bc-11e7-921f-b70614c8153c.html,,,,,,
Hamilton,Hamilton Municipal Court,OH,US,2017-07-15,more than two dozen; about 25,24,,25,,,Indivisible OH; Our Revolution Butler County,Oppose sheriff's refusal to provide Narcan to his deputies,0,protest,0,0,0,0,1,1,http://www.newschannel5.com/news/national/group-plans-to-protest-ohio-sheriffs-refusal-to-provide-narcan-to-his-deputies,http://www.mydaytondailynews.com/news/indivisible-our-revolution-protest-sheriff-jones-narcan-stance/91fJkaB5UxOzFH5uHqzm6L/,http://www.cincinnati.com/story/news/local/2017/07/15/sheriffs-refusal-have-deputies-carry-narcan-leads-protest/478479001/,,,,
Las Vegas,outside federal courtouse,NV,US,2017-07-15,several dozen,24,,24,,,American Warrior Revolution,Support defendants facing trial in the Bunkerville standoff case,0,protest,0,0,0,0,1,1,https://www.reviewjournal.com/news/bundy-blm/protesters-rally-to-support-defendants-in-bunkerville-case/,,,,,,
Los Angeles,Hollywood Walk of Fame,CA,US,2017-07-15,about two dozen,24,,24,,,Organizer Randi Berger,Arrest More Liberals at their Anti-Trump March,2,protest,see above,0,0,0,0,1,https://www.facebook.com/events/1484460874930470/,http://www.dailynews.com/general-news/20170712/protesters-plan-dueling-rallies-at-trumps-hollywood-star,http://www.latimes.com/local/lanow/la-me-hollywood-trump-protest-20170715-story.html,,,,
Springfield,,MA,US,2017-07-16,dozens,24,,24,,,bikers from various clubs and organizations,Oppose bullying of local child,0,demonstration,0,0,0,0,1,1,http://wwlp.com/2017/07/16/springfield-bikers-rally-against-bullying/,,,,,,
Brunswick,Sunset Beach,NC,US,2017-07-17,dozens,24,,24,,,general protestors,Against offshore drilling,0,protest,0,0,0,0,1,1,https://www.wwaytv3.com/2017/07/17/dozens-rally-against-offshore-drilling-call-on-new-county-resolution/,,,,,,
Pittsburgh,outside the Duquesne Club on Sixth Avenue,PA,US,2017-07-17,dozens,24,,24,,,general protestors,Oppose House Speaker Paul Ryan,1,protest,0,0,0,0,1,1,http://pittsburgh.cbslocal.com/2017/07/17/paul-ryan-pittsburgh-avoids-protesters/,,,,,,
Sunset Beach,Sunset Beach Town Park,NC,US,2017-07-17,dozens,24,,24,,,general protestors,"Call for new county resolution against offshore drilling, seismic testing, and GenX",0,rally,0,0,0,0,1,1,https://www.wwaytv3.com/2017/07/17/dozens-rally-against-offshore-drilling-call-on-new-county-resolution/,,,,,,
Chicago,LOMTO federal credit union,IL,US,2017-07-18,dozens,24,,24,,,cab drivers,Protesting cab foreclosures,0,protest,0,0,0,0,1,1,http://chicago.cbslocal.com/2017/07/18/chicago-cab-drivers-protest-foreclosures/,,,,,,
Springfield,downtown,IL,US,2017-07-18,about two dozen,24,,24,,,general protestors,Against repealing the ACA,1,protest; die-in,0,0,0,0,1,1,http://foxillinois.com/news/local/protesters-drop-dead-in-rally-against-ahca,,,,,,
Wilmington,downtown,NC,US,2017-07-18,dozens,24,,24,,,Suit Up Wilmington; Stand Up Brunswick,Save Our Healthcare,1,protest,0,0,0,0,1,1,https://www.wwaytv3.com/2017/07/18/dozens-participate-in-save-our-healthcare-rally/,,,,,,
Pasadena,from the Pasadena Library to Pasadena City Hall,CA,US,2017-07-19,dozens,24,,24,,,Altadena Elementary Freedom School; Children’s Defense Fund,2017 National Day of Social Action to raise awareness about children's hunger,1,march,0,0,0,0,1,1,http://www.pasadenastarnews.com/social-affairs/20170719/what-it-looks-like-when-altadena-kids-hold-a-protest,,,,,,
Boston,outside Massachusetts State House,MA,US,2017-07-20,dozens,24,,24,,,SEIU 32BJ,Oppose deportation of MIT custodian,1,rally,0,0,0,0,1,1,http://www.metro.us/news/local-news/boston/mit-custodian-facing-deportation-rally-state-house,,,,,,
Greenfield,Greenfield Town Common,MA,US,2017-07-20,a few dozen,24,,24,,,Jobs with Justice; Franklin County Continuing the Political Revolutions,Support striking Baystate Franklin nurses,0,rally; protest,0,0,0,0,1,1,http://www.gazettenet.com/Labor-unions-gather-in-support-of-nurses-11403692,http://www.recorder.com/Labor-unions-gather-in-support-of-nurses-11396136,,,,,
Meriden,Meriden Green Amphitheater,CT,US,2017-07-21,few dozen,24,,24,,,State Sen. Len Suzio,Support passage of state budget,0,rally,0,0,0,0,1,1,http://www.myrecordjournal.com/news/meriden/meridennews/10618744-154/suzio-leads-budget-rally-on-meriden-green.html,,,,,,
Boston,State House,MA,US,2017-07-22,dozens,24,,24,,,general protestors,Protesting deportation of MIT janitor,1,protest,0,0,0,0,1,1,http://www.metro.us/news/local-news/boston/mit-custodian-facing-deportation-rally-state-house,,,,,,
Dayton,federal courthoue,OH,US,2017-07-22,dozens,24,,24,,,general protestors,Demanding justice for man who was shot by police and who DOJ decided not to prosecute,0,protest,0,0,0,0,1,1,http://fox45now.com/news/local/rally-for-john-crawford-iii-after-doj-closes-case,,,,,,
North Charleston,Outside Al Cannon Detention Center,SC,US,2017-07-23,about two dozen,24,,24,,,organizer Maria Rocha,Call on local lawmakers to end participation in the 287-G program to partner with ICE,1,protest,0,0,0,0,1,1,http://www.live5news.com/story/35950990/immigration-rights-groups-protest-local-immigration-enforcement,,,,,,
Cincinnati,Newport Southbank Bridge,OH,US,2017-07-24,fewer than two dozen,24,,24,,,general protestors,Support dismissal of charges against a white police officer who killed an unarmed black motorist,0,march,0,0,0,0,1,1,http://www.live5news.com/story/35955761/the-latest-groups-rally-for-ex-cop-slain-motorist-in-ohio,http://www.journal-news.com/news/local/the-latest-groups-rally-for-cop-slain-motorist-ohio/NbL8xTbDCKfS7z9T2NMMRI/,http://www.cincinnati.com/story/news/2017/07/24/march-ray-tensing-take-place-monday-night/506050001/,,,,
Denver,inside Colorado Oil and Gas Conservation Commission meeting,CO,US,2017-07-24,more than two dozen,24,,24,,,#TensingStrong,Oppose commission's decision to appeal a pro-environment court ruling,0,protest,0,0,0,0,1,1,http://www.thedenverchannel.com/news/local-news/protesters-booted-from-oil-and-gas-meeting-amid-industry-tension,,,,,,
Whitesburg,in front of the Letcher County Courthouse,KY,US,2017-07-24,dozens,24,,24,,,organizer Elizabeth Jones,Oppose proposed rate increase by American Electric Power,0,protest,0,0,0,0,1,1,http://www.wymt.com/content/news/Residents-of-Letcher-County-protest-possible-rate-increase-436412753.html,,,,,,
Los Angeles,Outside Federal Building,CA,US,2017-07-25,about two dozen,24,,24,,,general protestors,Protesting ICE and detentions,1,protest,0,0,0,0,1,1,http://www.nbclosangeles.com/news/local/Demonstrators-ICE-Protest-Downtown-LA-436553563.html,http://www.latimes.com/local/california/la-me-pastor-carias-20170724-story.html,,,,,
Menifee,,CA,US,2017-07-25,couple of dozen,24,,24,,,parents and schoolchildren,Oppose Menifee Union School District 's busing cuts,0,protest,0,0,0,0,1,1,http://www.pe.com/2017/07/25/menifee-parents-protest-bus-cuts/,,,,,,
Roanoke,outside the Hope Center,VA,US,2017-07-25,dozens,24,,24,,,general protestors,Oppose community center's lease termination,0,rally,0,0,0,0,1,1,https://www.wsls.com/news/virginia/roanoke/rally-outside-hope-center-to-protest-lease-termination,,,,,,
Charlotte,Government Center,NC,US,2017-07-26,dozens,24,,24,,,American Postal Workers Union,Oppose cutbacks in personnel,0,protest,0,0,0,0,1,1,http://www.wcnc.com/news/local/postal-workers-protest-cutbacks_/459769409,http://www.charlotteobserver.com/news/local/article163616968.html,,,,,
Cincinnati,in front of city hall,OH,US,2017-07-26,several dozen,24,,24,,,general protestors,Oppose military transgender ban,1,protest,0,0,0,0,1,1,http://www.cincinnati.com/story/news/politics/2017/07/27/seelbach-transgender-service-members-you-can-join-our-police-force/514840001/,,,,,,
Louisville,Jefferson Square,KY,US,2017-07-26,a few dozen,24,,24,,,Operation Save America; Created Equal,Pro-life rally,2,rally,0,0,0,0,1,1,http://www.courier-journal.com/story/news/local/2017/07/26/louisville-abortion-protest-meets-counter-protest-ask-bevin-my-vag/499955001/,https://www.leoweekly.com/2017/07/day-anti-abortion-propaganda-counter-protestors-jefferson-square/,http://www.wdrb.com/story/35981494/emw-clinic-workers-disturbed-by-recent-anti-abortion-protest-tactics,,,,
Miami,downtown,FL,US,2017-07-27,dozens,24,,24,,,Safeguarding American Values for Everyone,Trans Justice Rally,1,rally,0,0,0,0,1,1,http://miami.cbslocal.com/2017/07/27/trans-justice-rally-downtown-miami/,http://www.miamiherald.com/news/local/community/gay-south-florida/article164126867.html,,,,,
Honolulu,Magic Island,HI,US,2017-07-28,dozens,24,,24,,,Refuse Facism; Women's March; Amnesty International,Oppose Trump's transgender military ban,1,rally,0,0,0,0,1,1,http://www.kitv.com/clip/13538366/dozens-rally-against-trumps-transgender-military-ban,,,,,,
Annapolis,,MD,US,2017-07-29,dozens,24,,24,,,general protestors,Against repealing the ACA,1,protest,0,0,0,0,1,1,http://www.wbaltv.com/article/dozens-rally-over-health-care-in-annapolis/10381768,,,,,,
Austin,City Hall,TX,US,2017-07-29,dozens; hundreds,24,,200,,,general protestors,Against repealing the ACA,1,protest,0,0,0,0,1,1,http://www.fox7austin.com/news/local-news/270878456-story,http://www.kvue.com/news/local/hundreds-gather-for-health-care-rally/460469652,,,,,
Bennington,,VT,US,2017-07-29,dozens,24,,24,,,Our Lives on the Line,Oppose GOP healthcare plan,1,rally,0,0,0,0,1,1,http://www.wcax.com/content/news/Vermonters-gather-for-Our-lives-are-on-the-Line-rallies-437405643.html,,,,,,
Davenport,Centennial Park,IA,US,2017-07-29,dozens,24,,24,,,general protestors,Against repealing the ACA,1,protest,0,0,0,0,1,1,http://wqad.com/2017/07/29/q-c-locals-join-global-movement-and-rally-for-healthcare/,http://www.kcrg.com/content/news/Protesters-rally-for-safeguard-of-current-health-care-system-437487553.html,,,,,
Dayton,Courthouse Square,OH,US,2017-07-29,dozens,24,,24,,,Organizing for Action; Dayton Indivisible For All; Greene County Indivisible Awake and Watching; Planned Parenthood,Our Lives on the Line Rally & March to Protect Medicare & Medicaid,1,protest,0,0,0,0,1,1,http://wdtn.com/2017/07/29/dozens-gather-for-healthcare-rally-on-daytons-courthouse-square/,,,,,,
Greenville,Downtown,TN,US,2017-07-29,dozens,24,,24,,,Indivisible Greene County,Our Lives on the Line rally to oppose GOP healthcare plan,1,protest,0,0,0,0,1,1,http://wjhl.com/2017/07/29/demonstrators-in-greene-county-protest-efforts-to-repeal-obamacare/,http://www.wcyb.com/news/tennessee/greene-county/indivisible-greene-county-holds-our-lives-on-the-line-rally/595387894,,,,,
Oakland,Schenley Park,PA,US,2017-07-29,dozens,24,,24,,,general protestors,Against repealing the ACA,1,protest,0,0,0,0,1,1,http://pittsburgh.cbslocal.com/2017/07/29/health-care-rally-oakland-schenley-plaza/,,,,,,
Salt Lake City,from City Library to the City and County Building,UT,US,2017-07-29,dozens,24,,24,,,Utah Education Association; Utah AFL-CIO; Utah Women Unite; Alliance for a Better Utah,March for Public Education,1,rally; march,0,0,0,0,0,1,http://www.sltrib.com/news/5549228-155/utah-unions-education-advocates-organizing-march,http://www.good4utah.com/news/top-stories/teachers-rallied-to-fight-pending-38-million-budget-cut/778231737,http://www.sltrib.com/news/5560228-155/utah-labor-unions-teachers-rally-for,,,,
San Jose,outside Santana Row,CA,US,2017-07-29,dozens,24,,24,,,Our Lives on the Line,Oppose GOP healthcare plan; support Planned Parenthood,1,rally; march,0,0,0,0,1,1,http://abc7news.com/news/bay-area-protesters-rally-behind-obamacare/2260280/,,,,,,
Independence,downtown,MO,US,2017-07-30,dozens,24,,24,,,Corey's Network; Momma On A Mission,Rally for victims in unsolved murder cases,0,rally,0,0,0,0,1,1,http://fox4kc.com/2017/07/30/rally-shines-light-on-unsolved-murders-as-local-homicide-rates-continue-to-rise/,,,,,,
Nampa,Outside school,ID,US,2017-07-31,dozens,24,,24,,,Parents and students,Protesting what they believed to be racist reasons for firing school coach,0,protest,0,0,0,0,1,1,http://www.ktvb.com/news/local/students-parents-protest-nampa-coachs-dismissal/460848567,,,,,,
Palmyra,,PA,US,2017-07-31,dozens,24,,24,,,Bicycle South Central Pennsylvania,Rally for victims in hit-and-run incident,0,rally,0,0,0,0,1,1,http://abc27.com/2017/07/31/cyclists-rally-in-support-of-hit-and-run-victims/,,,,,,
Richmond,Kinder Morgan Terminal,CA,US,2017-07-31,about two dozen or less,24,,24,,,Rainforest Action Network; Diablo Rising Tide,Oppose company’s planned expansion of the Trans Mountain Tar Sands Pipeline,1,protest,2,0,0,0,1,1,http://www.eastbaytimes.com/2017/07/31/two-arrested-in-second-protest-at-richmonds-kinder-morgan-terminal/,http://www.mercurynews.com/2017/07/31/two-arrested-in-second-protest-at-richmonds-kinder-morgan-terminal/,,,,,
Sandisfield,Otis state park,MA,US,2017-07-29,NA,22,,22,,,Sugar Shack Alliance,Oppose  Kinder Morgan’s Connecticut Natural Gas Pipeline Expansion Project,1,protest,22,0,0,0,1,1,http://wtnh.com/2017/07/29/22-people-arrested-during-massachusetts-pipeline-protest/,http://cbs6albany.com/news/local/22-arrested-in-protest-at-otis-state-park,http://wwlp.com/2017/07/29/22-people-arrested-at-massachusetts-pipeline-protest/,,,,
Cedar Park,Downtown,TX,US,2017-07-04,about 20,20,,20,,,Harvest Movement,Protesting TX bill SB4,1,protest,0,0,0,0,1,1,http://www.kvue.com/news/local/protesters-temporarily-block-fourth-of-july-parade-in-cedar-park/454084191,,,,,,
Woodside,in the public right-of-way at various points in Woodside,CA,US,2017-07-04,About 20,20,,20,,,general protestors,Oppose animal cruelty in local rodeo,0,protest,0,0,0,0,1,1,https://www.almanacnews.com/news/2017/07/05/woodside-pig-scramble-protesters-are-in-it-for-the-long-haul,,,,,,
Harrisburg,Outside ABC27 station,PA,US,2017-07-05,NA,20,,20,,,general protestors,Oppose Sen. Toomey's support for ACA repeal,1,protest; blockade,6,0,0,0,1,1,http://abc27.com/2017/07/05/protesters-flock-to-toomey-event-claim-town-hall-title-not-valid/,http://cumberlink.com/news/local/capital_region/arrested-in-toomey-town-hall-protest/article_e48155c9-8ae2-594b-8e46-9c567b870157.html,,Count from picture,,,
Metairie,Sen. Cassidy's office,LA,US,2017-07-06,20 or so,20,,20,,,Our Revolution,Against GOP healthcare bill,1,protest,3,0,0,0,1,1,http://www.wwltv.com/news/local/investigations/david-hammer/3-arrested-at-health-care-protest-cassidy-defends-gop-plan-1/454831818,http://www.theadvocate.com/new_orleans/news/crime_police/article_a3fbe8b0-6280-11e7-97c8-a3639747f814.html,,,,,
Huntersville,Offshore of Senator Thom Tillis's lakefront home on Lake Norman,NC,US,2017-07-07,NA,20,,20,,,Progress NC Action,Oppose ACA repeal,1,demonstration,0,0,0,0,1,1,http://www.wcnc.com/news/politics/demonstrators-protest-outside-sen-thom-tillis-lakefront-home/455062977,http://www.mooresvilletribune.com/news/trumpcare-opponents-protest-on-lake-norman-near-tillis-house/article_0d52e8bc-6354-11e7-a958-8f2f642035c8.html,,Count from picture,,,
Pottstown,Chestnut Street Park,PA,US,2017-07-08,NA,20,,20,,,"Temple of Prayer pastor Jessica Scott and her brother, Gilbert Butts,",anti-violence rally,0,rally,0,0,0,0,1,1,http://www.pottsmerc.com/general-news/20170708/pottstown-neighbors-host-anti-violence-rally-in-wake-of-double-shooting,,,Count from pictures,,,
Hagåtña,outside Dulce Nombre de Maria Cathedral-Basilica,GU,US,2017-07-09,NA,20,,20,,,Laity Forward Movement; Concerned Catholics of Guam,Support removal of Archibishop Apuron,0,protest,0,0,0,0,1,1,http://www.guampdn.com/picture-gallery/news/2017/07/08/anti-apuron-protesters-hold-final-picket-await-vaticans-decision/103533374/,,,Estimate from picture,,,
Columbia,State house,SC,US,2017-07-10,around 20,20,,20,,,general protestors,Protesting raising of confederate flag,0,protest,0,0,0,0,1,1,http://www.telesurtv.net/english/news/Confederate-Flag-Raising-in-South-Carolina-Stirs-Protests-20170711-0020.html,,,,,,
New York,Office of Senator Schumer,NY,US,2017-07-11,Facebook: 20 went,20,,20,,,Food and Water Watch,Opposed Dirty Energy Bill,1,rally,,,,,1,1,https://www.facebook.com/events/190470558153641,,,,,,
Canterbury,Cantrbury Park track,MN,US,2017-07-15,about 20,20,,20,,,Animal Rights Coalition,"Protesting ""extreme"" animal race day",0,protest,0,0,0,0,1,1,http://www.swnewsmedia.com/shakopee_valley_news/news/groups-protest-extreme-race-day-at-canterbury/article_884ff0a3-0abe-5642-b7c6-a99fb57af1fc.html,,,,,,
Jasper,Walker County Courthouse,AL,US,2017-07-15,about 20,20,,20,,,general protestors,Anti-Trump,1,protest,0,0,0,0,1,1,"http://mountaineagle.com/stories/county-democratic-leader-blasts-trump-at-jasper-rally,12283",,,,,,
Newstead,Newstead Industrial Estate,NY,US,2017-07-16,more than 20,20,,20,,,Newstead residents,Against proposed new energy solution,0,protest,0,0,0,0,1,1,http://www.stokesentinel.co.uk/families-protest-again-severn-trent-s-plan-for-digestion-facility-in-newstead/story-30442784-detail/story.html,,,,,,
Raleigh,Old State Capitol,NC,US,2017-07-17,NA,20,,20,,,general protestors,protesting bill that would adversely affect farmers,0,protest,0,0,0,0,1,1,http://abc11.com/news/farm-worker-advocates-rally-in-raleigh/2228982/,,,Count from picture,,,
Missoula,Outside Sen. Daines' office,MT,US,2017-07-18,roughly 20,20,,20,,,organizer Cameron Best,Against repealing the ACA,1,protest; die-in,0,0,0,0,1,1,http://www.missoulacurrent.com/government/2017/07/missoula-health-care-daines/,,,,,,
Battle Creek,Battle Creek Police Department,MI,US,2017-07-19,NA,20,,20,,,local branch of the Children's Defense Fund Freedom Schools,Oppose potential federal funding cuts to SNAP,1,march; protest,0,0,0,0,1,1,http://www.battlecreekenquirer.com/story/news/2017/07/19/kids-protest-food-program-cuts/492850001/,,,estimate from picture,,,
St. Paul,,MN,US,2017-07-21,NA,20,,20,,,Women Against Military Madness; Anti-War Committee,End U.S. aid to Israel,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2017/7/23/st-paul-protest-demands-end-us-aid-israel,,,,,,
Charlotte,outside the Charlotte-Mecklenburg Government Center,NC,US,2017-07-24,NA,20,,20,,,general protestors,Oppose Charlotte Council member Dimple Ajmera’s criticism of Trump voters,2,protest,0,0,0,0,1,1,http://www.charlotteobserver.com/news/politics-government/article163389348.html,,,Estimate from picture,,,
Corpus Christi,n front of Rep. Blake Farenthold's office,TX,US,2017-07-24,about 20,20,,20,,,general protestors,Medicare for All March,1,march,0,0,0,0,1,1,http://www.caller.com/story/news/local/2017/07/25/corpus-christi-citizens-rally-before-proposed-senate-health-care-vote/501383001/,,,,,,
Royal Oak,Duggan's Irish Pub,MI,US,2017-07-24,about 20,20,,20,,,Michigan Republicans for Trump,Rally for Trump,2,rally,0,0,0,0,1,1,https://www.metrotimes.com/catch-all/archives/2017/07/25/a-scuffle-broke-out-during-the-pro-trump-rally-at-duggans-irish-pub,,,,,,
Royal Oak,Duggan's Irish Pub,MI,US,2017-07-24,about 20,20,,20,,,general protestors,Counter-protest against Trump,1,protest,1,0,0,0,0,1,https://www.metrotimes.com/catch-all/archives/2017/07/25/a-scuffle-broke-out-during-the-pro-trump-rally-at-duggans-irish-pub,,,,,,
Wasilla,Sen. Sullivan's office,AK,US,2017-07-25,some 20,20,,20,,,AARP Alaska,Protesting repeal of ACA,1,protest,0,0,0,0,1,1,http://www.frontiersman.com/news/aarp-alaska-members-rally-against-proposed-health-care-legislation/article_191ffddc-7183-11e7-a9d0-3bfe28bf1f8c.html,,,,,,
Pearl River,,NY,US,2017-07-25,NA,20,,20,,,"Players, students and parents ",Demand school board rehire a recently dismissed coach,0,protest,0,0,0,0,1,1,http://westchester.news12.com/story/35970674/pearl-river-rehires-coach-after-students-rally,,,Estimate from video,,,
Youngstown,Covelli Center,OH,US,2017-07-25,about 20,20,,20,,,general protester,Protesting Trump's speech,1,protest,2,0,0,0,0,1,http://wkbn.com/2017/07/25/police-remove-protester-from-trump-rally-during-speech/,http://www.union-bulletin.com/news/national/trump-praises-senate-health-care-vote-at-ohio-rally/article_91fad9ff-66f8-51e0-b6d4-e9b068c5aa10.html,http://www.toledoblade.com/State/2017/07/25/President-Trump-holds-rally-in-Youngstown.html,,,,
Austin,Texas Capitol Rotunda,TX,US,2017-07-27,NA,20,,20,,,"Trust, Respect, Access Coalition",Oppose state anti-abortion legislation,1,protest,0,0,0,0,1,1,http://www.tdtnews.com/news/image_c0008fe2-7352-11e7-9aa5-7f260c9f8b14.html,,,Estimate from picture,,,
Portland,,OR,US,2017-07-28,NA,20,,20,,,Home Forward,Oppose federal housing cuts,1,rally,0,0,0,0,1,1,http://www.oregonlive.com/portland/index.ssf/2017/07/from_cancer_survivor_to_mayor.html,,,Estimate from pictures,,,
Dubuque,Washington Park,IA,US,2017-07-29,NA,20,,20,,,Our Lives on the Line; Indivisible Iowa; Women's March; Dubuque Democrats; Dubuque Democratic Socialists,Rally & March to Protect Medicare & Medicaid,1,rally; march,0,0,0,0,1,1,http://www.kcrg.com/content/news/Protesters-rally-for-safeguard-of-current-health-care-system-437487553.html,http://www.kcrg.com/content/news/People-rally-for-health-care-in-Dubuque-437412973.html,,estimate from video,,,
Portland,Outside Nike store,OR,US,2017-07-29,about 20,20,,20,,,general protestors,Protesting Nike's abuse of their workers,0,protest,0,0,0,0,1,1,http://kuow.org/post/oregon-student-organizers-protest-nike-over-sweatshops,,,,,,
Reading,Downtown,PA,US,2017-07-29,about 20,20,,20,,,general protestors,Oppose GOP healthcare plan,1,protest,0,0,0,0,1,1,http://www.readingeagle.com/news/article/reading-part-of-pro-obamacare-protest,,,,,,
Salt Lake City,State Capitol,UT,US,2017-07-29,NA,20,,20,,,general protestors,Legalization of medical marijuana,0,rally,0,0,0,0,1,1,http://fox13now.com/2017/07/29/advocates-for-medical-marijuana-ballot-initiative-rally-at-utah-state-capitol/,http://fox13now.com/2017/07/29/advocates-for-medical-marijuana-ballot-initiative-rally-at-utah-state-capitol/,,estimate from video,,,
Portland,outside of the Nike store on Martin Luther King Jr. Boulevard in Northeast Portland,OR,US,2017-07-31,around 20,20,,20,,,OSU’s local chapter of United Students Against Sweatshops,Demand Nike allow the Workers’ Rights Consortium to conduct independent monitoring of labor conditions at Nike factories abroad,0,protest,0,0,0,0,1,1,http://www.columbian.com/news/2017/jul/31/oregon-student-organizers-protest-nike-over-sweatshops/,,,,,,
Portland,Terry Schrunk Plaza,OR,US,2017-07-26,NA,18,,18,,,organizer Don J. Baldwin,Emergency Protest against Trump's Trans Ban,1,protest,0,0,0,0,1,1,http://katu.com/news/local/rally-set-for-wednesday-to-protest-banning-transgender-individuals-from-military,http://www.huffingtonpost.com/entry/donald-trump-transgender-military-ban-protest_us_5978f528e4b0da64e87616f9?gi&ncid=inblnkushpmg00000009,http://katu.com/news/local/rally-set-for-wednesday-to-protest-banning-transgender-individuals-from-military,Count from video,,,
Washington,Capitol Hill,DC,US,2017-07-18,NA,16,,16,,,National African American Clergy Network,African American Clergy Advocacy Day to protest federal budget cuts,1,protest,16,0,0,0,0,1,,,,,,,
Kansas City,Downtown,MO,US,2017-07-01,NA,15,,15,,,general protestors,Justice for victims of gun violence,0,march,0,0,0,0,1,1,http://www.kctv5.com/clip/13459588/families-march-for-children-killed-in-kc,,,Count from picture,,,
Melbourne,Lipscomb Community Park,FL,US,2017-07-01,NA,15,,15,,,Christians Merging Together Ministries; Palm Bay Police; city officials,"""Lay Down Your Gun and Love Your Enemies"" anti-violence and peace rally",0,rally,0,0,0,0,1,1,http://www.floridatoday.com/story/news/2017/07/03/lay-down-your-gun-rally-melbourne/448386001/,,,Count from picture,,,
Phoenix,Outside Sen. Flake's office,AZ,US,2017-07-05,about 15; about 20,15,,20,,,ADAPT Arizona,Against GOP healthcare bill,1,protest,5,0,0,0,1,1,http://www.azcentral.com/story/news/politics/arizona/2017/07/06/disability-advocates-we-occupy-sen-jeff-flakes-office-until-he-opposes-health-care-bill/453781001/,https://kdminer.com/news/2017/jul/07/health-care-protesters-flakes-arizona-offices-arre/,,,,,
Columbus,Sen. Portman's office,OH,US,2017-07-06,NA,15,,15,,,Democratic Socialists of America; ADAPT; Yes We Can Columbus,Oppose ACA repeal,1,protest; sit-in,15,0,0,0,1,1,http://nbc4i.com/2017/07/07/several-detained-during-protest-at-sen-rob-portmans-office-in-columbus/,http://wdtn.com/2017/07/07/several-detained-during-protest-at-sen-rob-portmans-office-in-columbus/,http://www.cleveland.com/metro/index.ssf/2017/07/16_arrested_during_protest_at.html,,,,
Washington,outside the White House,DC,US,2017-07-06,NA,15,,15,,,Sikhs for Justice; Christian groups,Raise awareness of Indian human rights violations,1,protest,0,0,0,0,1,1,http://theunn.com/2017/07/christians-sikhs-protest-modi-at-the-white-house/,,,Count from picture,,,
Dayton,outside Dayton Childen's Hospital,OH,US,2017-07-08,about 15,15,,15,,,Miami Valley residents,Oppose ACA repeal,1,protest,0,0,0,0,1,1,http://wdtn.com/2017/07/08/miami-valley-residents-protest-senate-healthcare-bill/,,,,,,
Milwaukee,outside government building,WI,US,2017-07-18,about 15,15,,15,,,general protestors,Against cuts to medicaid,1,protest,0,0,0,0,1,1,http://www.jsonline.com/story/news/education/2017/07/18/group-rallies-outside-mps-protest-potential-medicaid-cuts-contained-gop-health-care-overhaul/488398001/,,,,,,
Annapolis,outside Circuit Court for Anne Arundel County,MD,US,2017-07-19,NA,15,,15,,,Caucus of African American Leaders; Anne Arudenl County NAACP,Push for the county to address racially tinged incidents and a lack of diversity on the county's Circuit Court,0,protest,0,0,0,0,1,1,http://www.capitalgazette.com/news/annapolis/ph-ac-cn-court-house-protest-0720-20170719-story.html,,,Count from picture,,,
Austin,State Capitol,TX,US,2017-07-19,NA,15,,15,,,Jolt,Quinceañeras at the Capitol to oppose anti-sanctuary state bill SB 4,1,protest,0,0,0,0,1,1,http://www.statesman.com/news/happening-today-texas-teens-hold-quinceanera-protest-capitol/2emHF5a1SpoRALze8UqA2L/,http://www.mysanantonio.com/news/local/article/Quincea-era-at-the-Capitol-protests-sanctuary-11299736.php,https://www.dailykos.com/stories/2017/7/17/1681423/-Texas-teens-to-fight-show-me-your-papers-bill-with-quincea-era-themed-protest,,,,
